plant_id,asset_type,district,district_cluster_id,lat,lon,installed_capacity_mw,panel_vintage,terrain_class,hub_height_m,turbine_vintage
SOL_000,solar,Tumkur,0,13.2626,77.3877,222.3,2019.0,flat,,
SOL_001,solar,Tumkur,0,13.1315,76.8522,261.2,2018.0,flat,,
SOL_002,solar,Tumkur,0,13.4284,76.8511,219.4,2020.0,flat,,
SOL_003,solar,Tumkur,0,13.6332,77.1878,187.4,2023.0,flat,,
SOL_004,solar,Tumkur,0,13.405,76.901,94.7,2017.0,flat,,
SOL_005,solar,Tumkur,0,13.6278,77.0974,259.4,2021.0,flat,,
SOL_006,solar,Tumkur,0,13.0769,77.3866,290.0,2016.0,flat,,
SOL_007,solar,Tumkur,0,13.0475,76.9558,79.9,2021.0,flat,,
SOL_008,solar,Tumkur,0,13.5378,76.9213,123.4,2016.0,flat,,
SOL_009,solar,Tumkur,0,13.2249,77.1293,168.5,2020.0,flat,,
SOL_010,solar,Pavagada,1,14.3045,77.2481,124.6,2018.0,flat,,
SOL_011,solar,Pavagada,1,14.3522,77.0313,66.8,2023.0,hilly,,
SOL_012,solar,Pavagada,1,14.3058,77.4266,166.5,2022.0,flat,,
SOL_013,solar,Pavagada,1,13.9677,77.3038,50.9,2015.0,flat,,
SOL_014,solar,Pavagada,1,14.0531,77.2151,95.1,2017.0,hilly,,
SOL_015,solar,Pavagada,1,14.2365,77.441,31.5,2021.0,flat,,
SOL_016,solar,Pavagada,1,14.3481,77.4882,140.3,2015.0,flat,,
SOL_017,solar,Pavagada,1,13.9857,77.1733,221.6,2022.0,flat,,
SOL_018,solar,Pavagada,1,14.1358,77.208,291.8,2017.0,hilly,,
SOL_019,solar,Pavagada,1,14.1359,77.4408,153.2,2023.0,hilly,,
SOL_020,solar,Pavagada,1,13.8656,77.2418,68.5,2021.0,flat,,
SOL_021,solar,Pavagada,1,14.1371,77.3955,50.4,2021.0,flat,,
SOL_022,solar,Chitradurga,2,14.3784,76.2353,32.3,2017.0,flat,,
SOL_023,solar,Chitradurga,2,14.4829,76.5829,193.7,2020.0,flat,,
SOL_024,solar,Chitradurga,2,14.0562,76.3479,266.2,2021.0,hilly,,
SOL_025,solar,Chitradurga,2,14.1159,76.164,76.1,2023.0,hilly,,
SOL_026,solar,Chitradurga,2,14.4415,76.1022,158.1,2023.0,flat,,
